series,selected_model,aicc,holdout_rmse,ljung_box_pvalue,decision_note
TFR,arima_drift,-74.138,0.028,0.382,Selected for forecasting because it has the lowest holdout RMSE.
Log total live-births,arima_with_tfr,-192.531,0.123,0.019,"Selected as the best conditional model, but residual autocorrelation remains."
