series,rank,model,rmse,mae,mape
Log total live-births,1,arima_with_tfr,0.12277418962764544,0.09245117974881456,0.8864829407837955
Log total live-births,2,arima_drift,0.1255166348172611,0.0992797462904548,0.9511007203740796
Log total live-births,3,arima_auto,0.16699426925882896,0.13742315071546063,1.3155652579667867
Log total live-births,4,arima_no_drift,0.16699426925882896,0.13742315071546063,1.3155652579667867
TFR,1,arima_drift,0.02810593729173942,0.02226983043927754,2.0680635802699348
TFR,2,arima_auto,0.1784239346516521,0.15306796151506005,15.290080843836746
TFR,3,arima_no_drift,0.18612856469338668,0.1599020662937434,15.967541537986325
