scenario,year,log_births_mean,projected_live_births
gradual_rebound,2026,10.383024400079929,32307
gradual_rebound,2027,10.445627583463862,34394
gradual_rebound,2028,10.490496530263059,35972
gradual_rebound,2029,10.552103247146416,38258
gradual_rebound,2030,10.554770132740698,38360
gradual_rebound,2031,10.557437018334978,38462
gradual_rebound,2032,10.560103903929258,38565
gradual_rebound,2033,10.562770789523539,38668
gradual_rebound,2034,10.565437675117819,38771
gradual_rebound,2035,10.568104560712099,38875
model_trend,2026,10.373899343454466,32013
model_trend,2027,10.427144100045084,33764
model_trend,2028,10.462432254550867,34977
model_trend,2029,10.514246299378764,36837
model_trend,2030,10.50691862443422,36568
model_trend,2031,10.49939858114209,36294
model_trend,2032,10.491695240712161,36015
model_trend,2033,10.483817246597537,35733
model_trend,2034,10.475772834665682,35446
model_trend,2035,10.467569852418283,35157
stabilisation,2026,10.380357514485649,32220
stabilisation,2027,10.440293812275302,34211
stabilisation,2028,10.482495873480218,35685
stabilisation,2029,10.541435704769295,37852
stabilisation,2030,10.541435704769295,37852
stabilisation,2031,10.541435704769295,37852
stabilisation,2032,10.541435704769295,37852
stabilisation,2033,10.541435704769295,37852
stabilisation,2034,10.541435704769295,37852
stabilisation,2035,10.541435704769295,37852
