.model,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
arima_with_tfr,Test,-0.09091517349961382,0.12277418962764544,0.09245117974881456,-0.8720297177789604,0.8864829407837955,1.9993213375340184,2.0172291223253587,0.5251952110479352
arima_drift,Test,-0.0992797462904548,0.1255166348172611,0.0992797462904548,-0.9511007203740797,0.9511007203740797,2.146993858626398,2.062288595490296,0.501494273088939
arima_auto,Test,-0.13742315071546063,0.16699426925882896,0.13742315071546063,-1.3155652579667867,1.3155652579667867,2.9718716217907075,2.743782746455197,0.5517198438975579
arima_no_drift,Test,-0.13742315071546063,0.16699426925882896,0.13742315071546063,-1.3155652579667867,1.3155652579667867,2.9718716217907075,2.743782746455197,0.5517198438975579
