.model,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
arima_with_tfr,0.0027483702025302608,102.97723072685791,-193.95446145371582,-192.5307326401565,-180.81653300155727,,
arima_auto,0.003476172384964999,92.29996192128166,-180.59992384256333,-180.40637545546656,-176.25114930277206,,
arima_drift,0.003476172384964999,92.29996192128166,-180.59992384256333,-180.40637545546656,-176.25114930277206,,
arima_no_drift,0.0035461273057837265,91.14788085646492,-180.29576171292985,-180.23226964943777,-178.1213744430342,,
