.model,term,estimate,std.error,statistic,p.value
arima_auto,ma1,-0.8019153672922188,0.06835740510429163,-11.731214285690795,1.3478986027011615e-17
arima_drift,ar1,0.9528445822584007,0.05324929052696054,17.894033382021643,8.272760229711716e-27
arima_drift,ma1,-0.7692021547646392,0.09817944917644048,-7.834655431629982,5.740498155482911e-11
arima_drift,constant,-0.004639074957706898,0.003084540975805867,-1.5039757922148833,0.13743126210370843
arima_no_drift,ar1,0.9815122996400466,0.026723228258642515,36.728807243661414,3.41779140245998e-45
arima_no_drift,ma1,-0.7872055082142372,0.08291058426905877,-9.494632261420605,6.723252684074471e-14
