.model,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
arima_auto,0.016789031829981645,39.96411276215005,-75.9282255243001,-75.73150421282469,-71.61045935758077,,
arima_no_drift,0.01696668434955127,40.61657004474328,-75.23314008948655,-74.83969746653574,-68.70997827979964,,
arima_drift,0.017003096207842367,41.40235961141716,-74.80471922283432,-74.13805255616765,-66.10717014325178,,
